codepoints,emoji
1F600,😀
1F603,😃
1F604,😄
1F601,😁
1F606,😆
1F605,😅
1F923,🤣
1F602,😂
1F642,🙂
1F643,🙃
1F63A,😺
1F638,😸
1F639,😹
1F63B,😻
1F63C,😼
1F63D,😽
1F640,🙀
1F63F,😿
1F63E,😾
1F498,💘
1F49D,💝
1F496,💖
1F497,💗
1F493,💓
1F49E,💞
1F495,💕
1F49F,💟
1F494,💔
1F44B,👋
1F590,🖐
270B,✋
1F596,🖖
1F44C,👌
1F90F,🤏
270C,✌
1F91F,🤟
1F918,🤘
1F919,🤙
1F448,👈
1F435,🐵
1F436,🐶
1F43A,🐺
1F98A,🦊
1F99D,🦝
1F431,🐱
1F981,🦁
1F42F,🐯
1F42E,🐮
1F437,🐷
1F417,🐗
1F992,🦒
1F42D,🐭
1F439,🐹
1F430,🐰
1F43B,🐻
1F428,🐨
1F43C,🐼
1F338,🌸
1F4AE,💮
1F3F5,🏵
1F339,🌹
1F940,🥀
1F33A,🌺
1F33B,🌻
1F33C,🌼
1F337,🌷
1F332,🌲
1F333,🌳
1F334,🌴
1F335,🌵
1F347,🍇
1F349,🍉
1F34A,🍊
1F34B,🍋
1F34C,🍌
1F34D,🍍
1F34E,🍎
1F351,🍑
1F352,🍒
1F353,🍓
1F95D,🥝
1F345,🍅
1F965,🥥
1F951,🥑
1F346,🍆
1F954,🥔
1F955,🥕
1F33D,🌽
1F336,🌶
1F952,🥒
1F96C,🥬
1F966,🥦
1F9C4,🧄
1F9C5,🧅
1F968,🥨
1F95E,🥞
1F9C0,🧀
1F953,🥓
1F354,🍔
1F35F,🍟
1F355,🍕
1F32D,🌭
1F96A,🥪
1F32E,🌮
1F32F,🌯
1F963,🥣
26EA,⛪
1F54C,🕌
1F6D5,🛕
1F54D,🕍
26E9,⛩
1F301,🌁
1F303,🌃
1F3D9,🏙
1F304,🌄
1F309,🌉
1F68C,🚌
1F68E,🚎
1F690,🚐
1F691,🚑
1F692,🚒
1F693,🚓
1F695,🚕
1F697,🚗
1F699,🚙
1F69A,🚚
1F69B,🚛
1F69C,🚜
1F55B,🕛
1F550,🕐
1F551,🕑
1F552,🕒
1F553,🕓
1F554,🕔
1F555,🕕
1F556,🕖
1F557,🕗
1F558,🕘
1F559,🕙
1F55A,🕚
1F311,🌑
1F312,🌒
1F313,🌓
1F314,🌔
1F315,🌕
1F316,🌖
1F317,🌗
1F318,🌘
1F319,🌙
2B06,⬆
2197,↗
27A1,➡
2198,↘
2B07,⬇
2199,↙
2B05,⬅
2196,↖
2195,↕
2194,↔
21A9,↩
21AA,↪
2934,⤴
2935,⤵
1F54E,🕎
1F52F,🔯
2648,♈
2649,♉
264A,♊
264B,♋
264C,♌
264D,♍
264E,♎
264F,♏
2650,♐
2651,♑
2652,♒
2653,♓
26CE,⛎
